"","id","host_id","host_since","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","is_location_exact","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews","number_of_reviews_ltm","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","Pre_20_reviews","Post_20_reviews","ForRent"
"1",2060,2259,2008-08-18,0,50,"f",0,0,"f","Manhattan",40.85722,-73.9379,"t","Private room",2,NA,1,2,NA,100,NA,1,1,0,80,NA,NA,NA,NA,NA,NA,"flexible",0.01,0,0,"t"
"2",2595,2845,2008-09-09,84,37,"f",6,6,"t","Manhattan",40.75362,-73.98377,"f","Entire home/apt",2,1,0,1,NA,225,95,3,48,3,94,9,9,10,10,10,9,"strict_14_with_grace_period",0.37,0,0,"t"
"3",5121,7356,2009-02-03,NA,67,"f",1,1,"f","Brooklyn",40.68688,-73.95596,"f","Private room",2,NA,1,1,NA,60,0,29,50,1,90,8,8,10,10,9,9,"strict_14_with_grace_period",0.37,0,0,"t"
"4",5136,7378,2009-02-03,NA,NA,"f",1,1,"f","Brooklyn",40.6612,-73.99423,"t","Entire home/apt",4,1.5,2,2,NA,253,NA,14,1,0,97,10,10,10,10,8,10,"strict_14_with_grace_period",0.01,0,0,"t"
"5",5238,7549,2009-02-07,100,22,"t",4,4,"t","Manhattan",40.71344,-73.99037,"t","Entire home/apt",2,1,1,1,NA,150,40,1,161,1,94,10,9,10,10,9,9,"strict_14_with_grace_period",1.23,0,0,"t"
"6",5552,8380,2009-02-22,NA,20,"f",1,1,"t","Manhattan",40.73552,-74.01042,"t","Entire home/apt",2,1,1,1,NA,160,80,3,66,1,97,10,9,10,10,10,10,"moderate",0.5,0,0,"t"
"7",6021,11528,2009-03-27,100,82,"f",2,2,"f","Manhattan",40.79826,-73.96113,"t","Private room",1,1,1,1,NA,85,80,2,123,13,93,9,10,10,9,9,9,"strict_14_with_grace_period",0.91,0,0,"t"
"8",6090,11975,2009-04-01,100,NA,"f",2,2,"t","Manhattan",40.7353,-74.00525,"t","Entire home/apt",1,1,1,1,NA,120,150,30,27,0,97,10,9,9,10,10,9,"strict_14_with_grace_period",0.21,0,0,"t"
"9",6990,16800,2009-05-12,100,93,"t",3,3,"f","Manhattan",40.78962,-73.94802,"t","Private room",1,1,1,1,NA,65,NA,30,233,3,98,10,10,10,10,10,10,"moderate",1.8,0,0,"t"
"10",7801,21207,2009-06-12,NA,0,"f",1,1,"t","Brooklyn",40.71842,-73.95718,"t","Entire home/apt",4,1,NA,2,NA,299,120,3,9,0,98,9,9,10,9,10,10,"strict_14_with_grace_period",0.07,0,0,"t"
"11",8490,25183,2009-07-10,100,100,"f",2,2,"t","Brooklyn",40.68371,-73.94028,"t","Entire home/apt",5,1,1,4,800,120,90,2,112,25,95,10,9,10,10,9,9,"strict_14_with_grace_period",0.85,2,0,"t"
"12",9657,21904,2009-06-16,NA,90,"t",1,1,"t","Manhattan",40.7292,-73.98542,"t","Entire home/apt",3,1,1,1,NA,175,100,3,33,4,94,10,9,10,10,10,9,"strict_14_with_grace_period",0.25,0,0,"t"
"13",9783,32294,2009-08-18,100,100,"f",3,3,"t","Manhattan",40.8213,-73.95318,"t","Private room",2,1,1,2,NA,50,15,3,288,18,89,9,8,9,9,10,9,"moderate",2.27,1,0,"t"
"14",10452,35935,2009-09-03,100,56,"f",0,0,"f","Brooklyn",40.6831,-73.95473,"t","Private room",3,1,1,0,NA,70,NA,1,75,1,93,9,9,10,10,9,9,"strict_14_with_grace_period",0.61,0,0,"t"
"15",10962,9744,2009-03-10,100,99,"t",3,3,"t","Brooklyn",40.66869,-73.9878,"t","Private room",2,1,1,0,NA,89,69,4,179,12,95,10,9,10,10,10,10,"strict_14_with_grace_period",1.37,2,0,"t"
"16",12048,7549,2009-02-07,100,22,"t",4,4,"t","Manhattan",40.71401,-73.98917,"t","Shared room",1,1.5,1,0,NA,40,0,1,219,6,96,10,9,10,10,10,10,"strict_14_with_grace_period",1.69,0,0,"t"
"17",12343,47727,2009-10-22,NA,100,"f",1,1,"f","Manhattan",40.81175,-73.94478,"t","Entire home/apt",3,1,1,1,1,150,NA,7,107,11,96,10,9,10,10,9,9,"moderate",0.84,0,0,"t"
