"","id","host_id","host_since","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","is_location_exact","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews","number_of_reviews_ltm","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","Pre_20_reviews","Post_20_reviews","ForRent"
"1",3831,4869,2008-12-07,97,95,"f",1,1,"t","Brooklyn",40.68514,-73.95976,"t","Entire home/apt",3,1,1,3,500,89,NA,1,322,60,89,8,9,9,9,9,8,"flexible",4.64,15,8,"t"
"2",5178,8967,2009-03-03,100,100,"f",1,1,"f","Manhattan",40.76489,-73.98493,"t","Private room",2,1,1,1,NA,79,15,2,473,47,84,9,7,9,9,10,9,"strict_14_with_grace_period",3.5,12,1,"t"
"3",5803,9744,2009-03-10,100,99,"t",3,3,"t","Brooklyn",40.66829,-73.98779,"t","Private room",2,1.5,1,0,NA,89,67,4,180,15,94,10,10,10,10,10,10,"strict_14_with_grace_period",1.33,3,1,"t"
"4",7097,17571,2009-05-17,100,100,"t",1,1,"t","Brooklyn",40.69121,-73.97277,"t","Entire home/apt",4,1,1,2,NA,199,45,1,224,28,97,10,10,10,10,10,9,"flexible",1.77,4,1,"t"
"5",9668,32294,2009-08-18,100,100,"f",3,3,"t","Manhattan",40.82245,-73.95104,"t","Private room",2,1,1,1,NA,50,15,3,261,19,88,9,8,9,9,10,9,"moderate",2.01,2,1,"t"
"6",9704,32045,2009-08-16,100,23,"f",1,1,"t","Manhattan",40.81305,-73.95466,"f","Private room",2,1,1,1,900,52,50,2,98,11,98,10,9,10,10,10,10,"strict_14_with_grace_period",1.34,0,1,"t"
"7",12192,46978,2009-10-19,100,69,"f",2,2,"t","Manhattan",40.7229,-73.98199,"t","Private room",2,1,1,1,NA,59,30,2,262,18,88,10,8,10,10,10,10,"strict_14_with_grace_period",2.03,2,1,"t"
"8",12937,50124,2009-10-31,NA,92,"t",1,1,"t","Queens",40.74771,-73.9474,"t","Private room",4,1,1,2,NA,130,0,2,280,35,98,10,10,10,10,10,10,"flexible",2.3,7,1,"t"
"9",13394,52335,2009-11-08,100,59,"t",2,2,"t","Brooklyn",40.69142,-73.97376,"t","Private room",2,1,1,1,NA,80,50,1,143,9,94,10,10,10,10,10,9,"strict_14_with_grace_period",1.13,0,1,"t"
"10",13808,54275,2009-11-14,100,98,"f",3,3,"t","Brooklyn",40.68064,-73.94039,"t","Private room",2,1,1,1,NA,80,40,7,140,29,93,10,9,10,10,9,9,"flexible",1.15,2,1,"t"
