"","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews_ltm","review_scores_rating","review_scores_cleanliness","review_scores_location","review_scores_value","Post_20_reviews"
"1",89.3037155669443,100,"f",1,"f","Manhattan","Private room",2,1,1,1,657.770212765957,67,50,2,17,94,9,9,10,"0"
"2",100,100,"f",1,"t","Manhattan","Entire home/apt",4,2,2,2,657.770212765957,485,250,3,13,96,10,10,9,"0"
"3",89.3037155669443,0,"f",2,"t","Brooklyn","Entire home/apt",2,1,1,1,657.770212765957,120,80,28,0,100,10,10,10,"0"
"4",82,68,"f",31,"f","Manhattan","Entire home/apt",3,1,0,2,657.770212765957,110,100,29,0,92,8,10,9,"0"
"5",89.3037155669443,50,"f",1,"t","Manhattan","Private room",1,1.5,2,1,657.770212765957,75,60,4,6,93,9,10,9,"0"
"6",89.3037155669443,90,"t",1,"f","Manhattan","Shared room",1,1,1,1,657.770212765957,56,75.4034656056957,3,27,97,10,10,10,"0"
"7",89.3037155669443,35,"f",1,"f","Bronx","Private room",2,1,1,1,657.770212765957,51,12,2,6,92,9,8,9,"0"
"9",100,98,"f",3,"f","Manhattan","Private room",2,1,1,1,657.770212765957,65,13,1,9,82,7,10,8,"0"
"10",82,68,"f",31,"f","Manhattan","Entire home/apt",6,1,3,3,657.770212765957,165,150,29,1,65,8,10,5,"0"
"11",82,68,"f",31,"f","Manhattan","Entire home/apt",5,1,2,3,657.770212765957,150,120,29,0,60,2,10,4,"0"
"12",82,68,"f",31,"f","Manhattan","Entire home/apt",4,1,1,3,657.770212765957,125,120,30,1,64,5,8,6,"0"
"13",82,68,"f",31,"f","Manhattan","Entire home/apt",5,1,2,3,657.770212765957,150,150,29,1,75,8,9,7,"0"
"14",82,68,"f",31,"f","Manhattan","Entire home/apt",5,1,2,2,657.770212765957,150,120,29,0,80,9,10,9,"0"
"15",82,68,"f",31,"f","Manhattan","Entire home/apt",5,1,2,2,657.770212765957,150,120,30,0,75,9,10,8,"0"
"17",89.3037155669443,63,"t",1,"t","Brooklyn","Entire home/apt",3,1,1,2,657.770212765957,130,150,7,6,99,10,10,10,"0"
"18",100,59,"f",1,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,35,30,2,18,92,8,10,9,"0"
"19",89.3037155669443,91,"f",2,"t","Manhattan","Private room",2,1,1,1,657.770212765957,105,50,2,21,95,9,9,9,"0"
"20",100,100,"t",3,"t","Manhattan","Private room",2,1,1,1,657.770212765957,50,25,30,4,97,10,9,10,"1"
"21",89.3037155669443,61,"f",1,"t","Manhattan","Private room",1,1,1,1,657.770212765957,93,90,1,14,88,8,10,9,"0"
"22",89.3037155669443,85,"f",0,"f","Manhattan","Entire home/apt",3,1,1,1,657.770212765957,275,25,3,1,96,9,10,9,"0"
