"","id","host_id","host_since","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","is_location_exact","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews","number_of_reviews_ltm","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","Pre_20_reviews","Post_20_reviews","ForRent"
"1",5441,7989,2009-02-16,NA,56,"t",1,1,"t","Manhattan",40.7616,-73.98893,"t","Private room",2,1,1,1,NA,99,0,2,213,28,97,10,10,10,10,10,10,"flexible",1.56,5,0,"f"
"2",11708,44145,2009-10-07,100,100,"f",2,2,"t","Brooklyn",40.70186,-73.92745,"t","Entire home/apt",2,1,1,1,NA,85,50,2,266,37,87,10,9,10,10,10,9,"strict_14_with_grace_period",2.06,8,0,"f"
"3",17092,66243,2009-12-28,NA,100,"f",1,1,"t","Manhattan",40.76342,-73.98865,"t","Private room",1,1,1,1,NA,51,40,20,29,6,90,10,9,10,10,10,9,"strict_14_with_grace_period",0.45,1,0,"f"
"4",21293,44145,2009-10-07,100,100,"f",2,2,"t","Brooklyn",40.70093,-73.92609,"t","Entire home/apt",4,1,1,2,NA,105,75,3,133,16,89,9,8,10,9,9,9,"strict_14_with_grace_period",1.08,1,0,"f"
"5",30031,129352,2010-05-21,NA,80,"t",1,1,"t","Brooklyn",40.73494,-73.9503,"t","Private room",2,2,1,1,NA,50,45,3,196,3,98,10,9,10,10,10,10,"strict_14_with_grace_period",1.71,1,0,"f"
"6",62430,197755,2010-08-10,NA,100,"f",1,1,"f","Brooklyn",40.688,-73.9171,"t","Entire home/apt",3,1,1,2,NA,99,150,7,129,21,91,9,9,10,10,10,9,"strict_14_with_grace_period",2.04,4,0,"f"
"7",63003,307241,2010-12-02,100,90,"t",0,0,"f","Manhattan",40.73637,-73.98131,"t","Private room",2,1,1,1,120,103,100,2,123,17,97,10,10,10,10,10,10,"moderate",1.63,9,2,"f"
"8",73246,368364,2011-01-30,NA,92,"f",1,1,"f","Manhattan",40.80375,-73.96609,"t","Private room",2,1,1,1,84,60,60,2,3,3,73,9,7,10,10,10,9,"moderate",0.56,2,0,"f"
"9",75193,308875,2010-12-03,100,100,"t",3,3,"t","Brooklyn",40.71398,-73.95763,"t","Private room",1,1,1,1,NA,53,0,13,263,44,94,10,9,10,10,10,10,"moderate",2.33,11,1,"f"
"10",80924,438133,2011-03-12,NA,70,"f",2,2,"f","Brooklyn",40.67542,-73.98142,"t","Entire home/apt",5,1.5,3,5,NA,165,100,30,37,3,97,10,9,10,10,10,10,"strict_14_with_grace_period",0.48,2,0,"f"
"11",101053,530032,2011-04-23,NA,78,"f",1,1,"t","Brooklyn",40.71125,-73.95613,"t","Entire home/apt",6,2,3,3,NA,100,100,2,37,6,98,10,9,10,10,9,9,"strict_14_with_grace_period",0.33,2,0,"f"
"12",131154,275563,2010-10-31,100,100,"t",2,2,"t","Brooklyn",40.72473,-73.95199,"t","Entire home/apt",2,1,1,1,NA,165,75,2,198,26,98,10,10,10,10,10,10,"moderate",1.82,3,1,"f"
"13",182177,873273,2011-07-26,100,94,"f",4,4,"t","Bronx",40.86466,-73.85709,"t","Entire home/apt",8,1,1,2,NA,125,100,2,303,34,93,10,9,10,10,9,9,"moderate",2.84,4,0,"f"
"14",189787,915640,2011-08-03,NA,86,"f",1,1,"t","Brooklyn",40.66788,-73.94813,"t","Entire home/apt",2,1,1,1,NA,99,70,4,103,15,93,10,9,10,10,9,9,"strict_14_with_grace_period",0.96,1,0,"f"
