"","listing_id","id","date","reviewer_id","reviewer_name","comments"
"1","3831","618105421",2020-03-14,341257079,"Tori","Knew we were having a sleepover and got upset by the music and the people then just decided to cal the cops and refuses to give me a full refund"
"2","3831","622211881",2020-04-11,120660540,"Chibuzor","Very clean space!"
"3","3831","622571895",2020-04-17,168141636,"Naquan","Worst Airbnb and I felt uncomfortable and left. What’s in the picture is not what you going to get in person real talk."
"4","3831","623159807",2020-04-26,343330256,"Martinia","The place was very comfortable and clean. The host has great hospitality. the area is also nice and quiet The only issue I had is the lay out cause it wasn’t completely private like I thought it was by looking at the pics but other then that it was a good experience."
"5","3831","624414254",2020-05-10,103869986,"Felicia","This place is very comfortable and feels like home.  Definitely recommend anyone to book this place.  I most definitely will be again"
"6","3831","627009099",2020-05-31,304980794,"Jesus","Good place to stay the night"
"7","3831","627460802",2020-06-02,7055165,"Lexi","Lisa was great and her space was perfect for a short visit. I had my pup with me and was able to bring her and keep her there without a problem when I left the house. Amenities were all there, and everything was clean. Had a good quick stay and the value is great. Thanks for everything!"
"8","3831","628323141",2020-06-07,232008597,"Chequaota","Very good upstairs just it was stuffy that’s all"
"9","5178","618663219",2020-03-15,314697928,"Łukasz","Great location!"
"10","5803","619687618",2020-03-18,203696246,"Klara","Laurie was so kind and offered my friend and me because of the Covid 19 situation the apartment (flat)  instead of the room we booked. The apartment is very cosy and furnished with love. The area Park Slope is full of nice shops and restaurants. The booklet Laurie send us was very useful. Thank you :)"
"11","6848","619071518",2020-03-16,294564318,"Caroline Dahl","There are a lot of noise, not only from the neighbourhood, but you can hear everything from the hosts who live upstairs. They have a bird or another animal that makes noises all day long and night. Additionally, every morning it sounded like someone was trying to break down the window in the kitchen - rather disturbing."
"12","7097","617996452",2020-03-14,83584567,"Jonatan","Just an excellent place to stay"
"13","9668","620063632",2020-03-20,135296581,"Tiffany","Very convenient location: two-minute walking distance to the subway, close to many stores, restaurants, and laundromats. The room was cozy, and the apartment was neat. Ssameer gave very clear and detailed instructions on how to get to his place from the airport, so we had no trouble finding it at all. We never personally met Ssameer, but his co-host, Donald was fantastic. Donald was very hospitable and knowledgeable about the area, and he made us feel welcome."
"14","9704","618066036",2020-03-14,63311662,"Brianna","Teri is an AMAZING host. Her apartment is super chic and comfortable. Amazing location--very close to subway, awesome restaurants and coffee shops nearby. Teri is super warm and welcoming.  I had a wonderful time staying at her home!"
"15","12192","619471937",2020-03-17,95471547,"Alex","Amazing location and fantastic hospitality. I’m a solo traveller and this was the perfect place for me, right in the heart of a beautiful and central area in New York"
"16","12937","618719862",2020-03-15,7018029,"Caroline","We absolutely loved Orestes’s place and will happily stay there again! Beautiful home, sparkling spacious room & bath, and so easy to zip over to Manhattan, not to mention all the nearby eateries like LIC Market, LIC corner cafe, grocery & more. So quiet and comfortable, it was a true retreat and restful stay in the city."
"17","13394","619881473",2020-03-19,12739148,"Michelle","Alex goes above & beyond with making sure your stay is as comfortable and easy as can be. Helpful and welcoming, Alex offers the best home away from home experience. I absolutely recommend his Airbnb for position, value and comfort."
"18","13808","621493620",2020-03-31,64139202,"Weiping","原计划入住一个月,因新冠疫情影响,我们只住了半个月,真是非常遗憾,这里位置很好,生活条件卫生都很好,尤其是住在艺术家的老房子里是别样的体验,这是有历史有故事的地方,希望下次再来!"
"19","14314","618013460",2020-03-14,194200679,"Briana","Amazing hospitality! I really enjoyed New York and staying at her place made the experience even more better."
